Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-ES764;CH1903+ / LV95;2692489.632;1192513.617;01.01.1950 00:00;488.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES765;CH1903+ / LV95;2691444.61;1192324.595;01.01.1950 00:00;458.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES766;CH1903+ / LV95;2691460.61;1192339.595;01.01.1950 00:00;459;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES767;CH1903+ / LV95;2692539.632;1192483.618;01.01.1950 00:00;491.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES768;CH1903+ / LV95;2692495.632;1192532.618;01.01.1950 00:00;488;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES769;CH1903+ / LV95;2691300.609;1192484.595;01.01.1950 00:00;453.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES770;CH1903+ / LV95;2691050.616;1193399.607;01.01.1950 00:00;439.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES771;CH1903+ / LV95;2691934.626;1192906.614;01.01.1950 00:00;461.9;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES772;CH1903+ / LV95;2691545.614;1192532.6;01.01.1950 00:00;460;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES773;CH1903+ / LV95;2691404.614;1192717.601;01.01.1950 00:00;452;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES774;CH1903+ / LV95;2691450.621;1193241.611;01.01.1950 00:00;448.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES775;CH1903+ / LV95;2691077.606;1192521.594;01.01.1950 00:00;449.6;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES776;CH1903+ / LV95;2690776.618;1193977.612;01.01.1950 00:00;437;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES777;CH1903+ / LV95;2692068.624;1192502.609;01.01.1950 00:00;475;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES778;CH1903+ / LV95;2690552.611;1193516.609;01.01.1950 00:00;438;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES779;CH1903+ / LV95;2691096.608;1192664.595;01.01.1950 00:00;448.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES780;CH1903+ / LV95;2692282.625;1192313.61;01.01.1950 00:00;485.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES781;CH1903+ / LV95;2690989.609;1192935.599;01.01.1950 00:00;443.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES782;CH1903+ / LV95;2691844.625;1192990.614;01.01.1950 00:00;462.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES783;CH1903+ / LV95;2691896.625;1192914.614;01.01.1950 00:00;465;Landesnivellementnetz 1902;;104621;Axen
